date,category,product,units,unit_price,revenue
2024-01-01,Home,Bedsheet,1,489,489
2024-01-01,Electronics,Laptop,3,5890,17670
2024-01-01,Electronics,Smartwatch,4,3526,14104
2024-01-01,Home,Chair,1,1291,1291
2024-01-01,Grocery,Cereal,1,679,679
2024-01-01,Home,Bedsheet,3,1280,3840
2024-01-01,Home,Cookware,3,1395,4185
2024-01-01,Electronics,Laptop,2,4573,9146
2024-01-01,Fashion,Jacket,2,522,1044
2024-01-01,Electronics,Laptop,4,3640,14560
2024-01-01,Grocery,Rice,4,590,2360
2024-01-01,Beauty,Face Cream,1,431,431
2024-01-01,Home,Bedsheet,4,2070,8280
2024-01-01,Home,Cookware,3,909,2727
2024-01-01,Grocery,Olive Oil,2,197,394
2024-01-01,Home,Bedsheet,3,474,1422
2024-01-01,Home,Bedsheet,3,2048,6144
2024-01-01,Electronics,Smartphone,4,3465,13860
2024-01-01,Beauty,Shampoo,4,423,1692
2024-01-01,Fashion,Sneakers,4,602,2408
2024-01-01,Home,Chair,2,1006,2012
2024-01-01,Electronics,Headphones,3,1905,5715
2024-01-01,Electronics,Smartwatch,2,3754,7508
2024-01-01,Grocery,Rice,3,311,933
2024-01-01,Fashion,Jacket,2,948,1896
2024-01-01,Beauty,Face Cream,2,1166,2332
2024-01-01,Home,Chair,1,1921,1921
2024-01-01,Electronics,Smartphone,3,5561,16683
2024-01-01,Fashion,Jacket,1,1275,1275
2024-01-01,Home,Chair,1,979,979
2024-01-01,Grocery,Rice,4,159,636
2024-01-01,Electronics,Headphones,3,3722,11166
2024-01-01,Electronics,Headphones,4,4144,16576
2024-01-01,Grocery,Pasta,1,513,513
2024-01-01,Beauty,Face Cream,2,209,418
2024-01-01,Grocery,Olive Oil,3,756,2268
2024-01-01,Grocery,Cereal,4,332,1328
2024-01-01,Grocery,Pasta,3,678,2034
2024-01-01,Electronics,Smartphone,1,3993,3993
2024-01-01,Fashion,T-Shirt,2,1568,3136
2024-01-01,Electronics,Laptop,1,5622,5622
2024-01-01,Grocery,Olive Oil,4,680,2720
2024-01-01,Fashion,T-Shirt,4,1415,5660
2024-01-01,Fashion,Jacket,2,689,1378
2024-01-01,Grocery,Cereal,4,724,2896
2024-01-01,Beauty,Shampoo,1,461,461
2024-01-01,Home,Chair,3,2249,6747
2024-01-01,Home,Chair,1,2385,2385
2024-01-01,Electronics,Headphones,2,5240,10480
2024-01-01,Grocery,Olive Oil,4,237,948
2024-01-01,Home,Chair,4,1254,5016
2024-01-01,Electronics,Headphones,4,2533,10132
2024-01-01,Electronics,Smartphone,2,3778,7556
2024-01-01,Electronics,Smartwatch,4,5118,20472
2024-01-01,Electronics,Smartphone,4,2056,8224
2024-01-01,Fashion,T-Shirt,3,1213,3639
2024-01-01,Fashion,Jacket,1,1198,1198
2024-01-01,Home,Cookware,1,1947,1947
2024-01-01,Beauty,Shampoo,2,988,1976
2024-01-01,Grocery,Olive Oil,2,112,224
2024-01-01,Beauty,Face Cream,4,693,2772
2024-01-01,Home,Cookware,1,937,937
2024-01-01,Fashion,Jacket,2,581,1162
2024-01-01,Grocery,Olive Oil,4,265,1060
2024-01-01,Beauty,Soap,2,761,1522
2024-01-01,Electronics,Headphones,4,5210,20840
2024-01-01,Beauty,Perfume,2,285,570
2024-01-01,Electronics,Laptop,4,1595,6380
2024-01-01,Electronics,Smartphone,4,4160,16640
2024-01-01,Fashion,Jacket,3,1577,4731
2024-01-01,Electronics,Smartphone,3,2316,6948
2024-01-01,Grocery,Cereal,4,134,536
2024-01-01,Grocery,Cereal,2,683,1366
2024-01-01,Beauty,Perfume,1,1094,1094
2024-01-01,Beauty,Face Cream,3,813,2439
2024-01-01,Home,Bedsheet,4,1010,4040
2024-01-01,Beauty,Soap,1,810,810
2024-01-01,Fashion,T-Shirt,3,1093,3279
2024-01-01,Fashion,Sneakers,2,1208,2416
2024-01-01,Fashion,T-Shirt,3,776,2328
2024-01-01,Beauty,Soap,4,698,2792
2024-01-01,Beauty,Face Cream,4,695,2780
2024-01-01,Home,Lamp,3,377,1131
2024-01-01,Home,Bedsheet,3,2395,7185
2024-01-01,Electronics,Laptop,3,4765,14295
2024-01-02,Beauty,Soap,4,600,2400
2024-01-02,Beauty,Soap,3,899,2697
2024-01-02,Electronics,Headphones,3,3842,11526
2024-01-02,Electronics,Laptop,4,3641,14564
2024-01-02,Beauty,Soap,4,270,1080
2024-01-02,Beauty,Shampoo,3,647,1941
2024-01-02,Home,Chair,2,1776,3552
2024-01-02,Home,Cookware,2,895,1790
2024-01-02,Grocery,Pasta,4,772,3088
2024-01-02,Grocery,Pasta,3,189,567
2024-01-02,Beauty,Soap,2,271,542
2024-01-02,Home,Cookware,1,2392,2392
2024-01-02,Fashion,Jacket,3,1419,4257
2024-01-02,Electronics,Laptop,4,3950,15800
2024-01-02,Grocery,Pasta,2,320,640
2024-01-02,Grocery,Cereal,4,481,1924
2024-01-02,Electronics,Smartwatch,1,4580,4580
2024-01-02,Home,Cookware,1,1730,1730
2024-01-02,Home,Cookware,1,829,829
2024-01-02,Beauty,Soap,3,432,1296
2024-01-02,Beauty,Shampoo,3,1005,3015
2024-01-02,Beauty,Soap,1,384,384
2024-01-02,Home,Cookware,3,1998,5994
2024-01-02,Beauty,Soap,1,242,242
2024-01-02,Home,Bedsheet,4,1686,6744
2024-01-02,Grocery,Rice,2,137,274
2024-01-02,Electronics,Laptop,1,3851,3851
2024-01-02,Electronics,Laptop,3,1519,4557
2024-01-02,Grocery,Rice,4,639,2556
2024-01-02,Grocery,Pasta,3,278,834
2024-01-02,Grocery,Rice,3,478,1434
2024-01-02,Grocery,Olive Oil,1,409,409
2024-01-02,Grocery,Olive Oil,1,739,739
2024-01-02,Beauty,Shampoo,2,783,1566
2024-01-02,Home,Bedsheet,2,1205,2410
2024-01-02,Beauty,Shampoo,1,1114,1114
2024-01-02,Fashion,Sneakers,3,1158,3474
2024-01-02,Fashion,Jeans,3,1523,4569
2024-01-02,Home,Chair,2,1508,3016
2024-01-02,Grocery,Olive Oil,3,773,2319
2024-01-02,Grocery,Cereal,3,695,2085
2024-01-02,Fashion,Jacket,2,903,1806
2024-01-02,Electronics,Headphones,1,1751,1751
2024-01-02,Electronics,Smartphone,2,4043,8086
2024-01-02,Electronics,Laptop,4,5562,22248
2024-01-02,Grocery,Pasta,1,267,267
2024-01-02,Grocery,Pasta,4,153,612
2024-01-02,Grocery,Pasta,2,200,400
2024-01-02,Beauty,Perfume,3,937,2811
2024-01-02,Grocery,Rice,4,392,1568
2024-01-02,Beauty,Perfume,1,823,823
2024-01-02,Grocery,Pasta,4,330,1320
2024-01-02,Electronics,Smartphone,1,3658,3658
2024-01-02,Fashion,Jacket,2,471,942
2024-01-02,Electronics,Smartphone,1,5980,5980
2024-01-02,Fashion,T-Shirt,3,1749,5247
2024-01-02,Grocery,Olive Oil,2,529,1058
2024-01-02,Home,Bedsheet,2,2157,4314
2024-01-02,Grocery,Cereal,4,358,1432
2024-01-02,Fashion,Jeans,2,1760,3520
2024-01-02,Beauty,Perfume,4,1198,4792
2024-01-02,Home,Bedsheet,1,1045,1045
2024-01-02,Fashion,T-Shirt,2,1883,3766
2024-01-02,Electronics,Laptop,3,4049,12147
2024-01-02,Grocery,Olive Oil,2,661,1322
2024-01-02,Beauty,Soap,4,427,1708
2024-01-02,Home,Cookware,3,551,1653
2024-01-02,Beauty,Face Cream,4,570,2280
2024-01-02,Electronics,Smartwatch,3,2193,6579
2024-01-02,Home,Chair,4,390,1560
2024-01-02,Beauty,Face Cream,4,471,1884
2024-01-02,Fashion,Sneakers,3,1669,5007
2024-01-02,Grocery,Cereal,1,411,411
2024-01-02,Electronics,Smartphone,3,5789,17367
2024-01-02,Home,Bedsheet,3,2204,6612
2024-01-02,Fashion,Jacket,3,478,1434
2024-01-02,Fashion,Jacket,3,407,1221
2024-01-02,Grocery,Rice,3,589,1767
2024-01-02,Fashion,T-Shirt,4,1764,7056
2024-01-02,Beauty,Face Cream,2,243,486
2024-01-02,Grocery,Cereal,2,575,1150
2024-01-02,Grocery,Olive Oil,2,473,946
2024-01-02,Home,Chair,4,1564,6256
2024-01-02,Beauty,Perfume,4,655,2620
2024-01-02,Fashion,Sneakers,1,614,614
2024-01-02,Fashion,T-Shirt,3,428,1284
2024-01-02,Beauty,Face Cream,4,1159,4636
2024-01-02,Grocery,Olive Oil,1,342,342
2024-01-03,Fashion,Jacket,1,889,889
2024-01-03,Grocery,Olive Oil,2,309,618
2024-01-03,Fashion,T-Shirt,1,955,955
2024-01-03,Grocery,Pasta,4,648,2592
2024-01-03,Grocery,Cereal,3,572,1716
